,returns,regime,regime_code,confidence
2015-04-11,0.002971675143312046,Sideways Market,4,1.0
2015-04-12,-0.010776810622211558,Sideways Market,4,1.0
2015-04-13,0.002877899364358966,Sideways Market,4,0.9858692531793466
2015-04-14,0.01278807502010126,Sideways Market,4,1.0
2015-04-15,0.021848382379512695,Sideways Market,4,0.9421693406594726
2015-04-16,0.02902625991290351,Sideways Market,4,0.8959585881467556
2015-04-17,-0.0010083310704600864,Sideways Market,4,0.8788002598322947
2015-04-18,-0.00038748715313545803,Sideways Market,4,0.8871879713922531
2015-04-19,0.01818241957026474,Sideways Market,4,0.9856289417032571
2015-04-20,0.001823722794903263,Sideways Market,4,0.8628658645683283
2015-04-21,0.008965703346644024,Sideways Market,4,0.7766289553877572
2015-04-22,0.02302831201047013,Sideways Market,4,0.7776853469490383
2015-04-23,0.0037727656245304065,Sideways Market,4,0.8114404207804033
2015-04-24,0.010339636840021435,Sideways Market,4,0.7476558063480518
2015-04-25,0.011181314794842983,Sideways Market,4,0.9933741138009448
2015-04-26,-0.011076149089302238,Sideways Market,4,1.0
2015-04-27,0.022568527215338505,Sideways Market,4,0.8344283714593695
2015-04-28,0.004652299571961456,Sideways Market,4,0.7356358324902825
2015-04-29,-0.017918456751804247,Sideways Market,4,0.709621081093516
2015-04-30,0.00026323286072688567,Sideways Market,4,0.6448025616968571
2015-05-01,-0.016333946793415495,Sideways Market,4,0.5305586298896627
2015-05-02,0.016956886963144086,Sideways Market,4,0.44808173844364396
2015-05-03,-0.022663841614244513,Sideways Market,4,0.5078125523349292
2015-05-04,-0.00448820286040457,Sideways Market,4,0.39503820176490834
2015-05-05,-0.004393877372888525,Sideways Market,4,0.27586299365623207
2015-05-06,0.012419129768007573,Bull Market,0,0.3122297664607843
2015-05-07,0.003019995708134225,Bull Market,0,0.4141279170289238
2015-05-08,0.01847097230135174,Bull Market,0,0.4486982039656313
2015-05-09,-0.009015021846607177,Bull Market,0,0.5510258846251415
2015-05-10,0.006545848380199951,Bull Market,0,0.7533454003552723
2015-05-11,0.025113566705911545,Bull Market,0,0.7319427273243256
2015-05-12,0.0041742180147802945,Bull Market,0,0.7590991923465689
2015-05-13,0.009635057552089637,Bull Market,0,0.8939767797596878
2015-05-14,-0.0006156138095054864,Bull Market,0,0.8834978385462247
2015-05-15,0.0008402325204531197,Bull Market,0,0.9797187599160957
2015-05-16,0.008398487618495269,Bull Market,0,0.7172914277060424
2015-05-17,0.013227814519277391,Bull Market,0,0.8837034524183026
2015-05-18,0.0016030056292396142,Bull Market,0,0.8199135301019311
2015-05-19,-0.0036071370113131933,Bull Market,0,0.7990617754277289
2015-05-20,-0.016175901745339318,Bull Market,0,0.882474537801115
2015-05-21,0.010863998003958469,Bull Market,0,0.8076139174831667
2015-05-22,-0.0036534564514640704,Bull Market,0,0.8206532693194628
2015-05-23,0.0048066735871545455,Bull Market,0,0.8610476009462852
2015-05-24,0.0036562668567310646,Bull Market,0,0.8301241067942908
2015-05-25,-0.0023034654297005054,Bull Market,0,0.867327566307492
2015-05-26,0.005058782931232201,Bull Market,0,0.9900921210678935
2015-05-27,0.005496716684535725,Bull Market,0,0.9946062642295257
2015-05-28,0.024067885702976827,Bull Market,0,0.9337682742762301
2015-05-29,0.005391934824133271,Bull Market,0,0.9877835077993755
2015-05-30,0.011805994609870902,Bull Market,0,1.0
2015-05-31,-0.001760578641313042,Bull Market,0,1.0
2015-06-01,0.004379563377358968,Bull Market,0,0.9751236609186886
2015-06-02,0.0050572723774971635,Bull Market,0,0.9905580356702038
2015-06-03,0.02108582494637963,Bull Market,0,0.9876090099741625
2015-06-04,0.007320998705375055,Bull Market,0,0.9304152193184293
2015-06-05,0.020249293920108914,Bull Market,0,0.9729920713493898
2015-06-06,0.016003490917026457,Bull Market,0,1.0
2015-06-07,-0.004985725227805622,Bull Market,0,1.0
2015-06-08,0.009088694012305101,Bull Market,0,1.0
2015-06-09,0.0006114909613861384,Bull Market,0,0.8669392134280643
2015-06-10,-0.01189082662783094,Bull Market,0,0.9609243658268201
2015-06-11,-0.010076567642786182,Bull Market,0,1.0
2015-06-12,-0.0006104564722489812,Bull Market,0,1.0
2015-06-13,0.010079698722475838,Bull Market,0,0.9992719958190411
2015-06-14,-0.0014620122988874308,Bull Market,0,1.0
2015-06-15,-0.009601902770700452,Bull Market,0,0.9943424132844484
2015-06-16,0.009027594068110727,Bull Market,0,0.9346737054115243
2015-06-17,-0.006854425887670673,Bull Market,0,1.0
2015-06-18,-0.014649033937018514,Bull Market,0,0.9239326176354455
2015-06-19,-0.0032049470702710144,Bull Market,0,0.9957379272079161
2015-06-20,0.007878292981973636,Bull Market,0,1.0
2015-06-21,0.006049894194973879,Bull Market,0,1.0
2015-06-22,0.0029618818098946717,Bull Market,0,0.9350796420553084
2015-06-23,0.018427721668082937,Bull Market,0,0.9645486673578597
2015-06-24,-0.0064851577014190896,Bull Market,0,1.0
2015-06-25,0.0015421817076858755,Bull Market,0,1.0
2015-06-26,0.012665683516021185,Bull Market,0,0.9648763020974794
2015-06-27,0.014562966652014026,Bull Market,0,0.9464433468083233
2015-06-28,0.015847976474367895,Bull Market,0,1.0
2015-06-29,0.008024579598953691,Bull Market,0,1.0
2015-06-30,0.005925672263396612,Bull Market,0,0.9434620821927994
2015-07-01,0.005522505578312722,Bull Market,0,0.9905674489538074
2015-07-02,-0.011996441711723234,Bull Market,0,0.959694616328882
2015-07-03,0.0018006336040468144,Bull Market,0,1.0
2015-07-04,0.004538811621634329,Bull Market,0,1.0
2015-07-05,0.01114966361065896,Bull Market,0,0.9459580239798021
2015-07-06,-0.0036288750007392014,Bull Market,0,1.0
2015-07-07,0.0037364635704116634,Bull Market,0,1.0
2015-07-08,-0.017283334299180532,Bull Market,0,0.8927738487494827
2015-07-09,-0.000526238771359237,Bull Market,0,1.0
2015-07-10,0.015811831915880682,Bull Market,0,1.0
2015-07-11,0.03324939842655293,Bull Market,0,1.0
2015-07-12,-0.010206154655059464,Bull Market,0,1.0
2015-07-13,0.017602975670511996,Bull Market,0,0.9372719481043081
2015-07-14,0.010020527809545756,Bull Market,0,0.9640617885523015
2015-07-15,-0.002518119240733747,Bull Market,0,1.0
2015-07-16,-0.009944987917118104,Bull Market,0,0.9573159970055851
2015-07-17,0.0016659211974001061,Bull Market,0,1.0
2015-07-18,-0.010406958722463229,Bull Market,0,1.0
2015-07-19,-0.01275190021032575,Bull Market,0,0.9558467612121117
2015-07-20,2.3271253203461075e-05,Bull Market,0,1.0
2015-07-21,0.010966852270036808,Bull Market,0,0.9038353139443612
2015-07-22,0.018143924509020106,Bull Market,0,0.9715617407266541
2015-07-23,0.015944855569627173,Bull Market,0,0.9901533911361322
2015-07-24,0.00010915141752493112,Bull Market,0,0.9536521017169939
2015-07-25,0.016918078371733373,Bull Market,0,0.9722593274201398
2015-07-26,0.0024112519877606603,Bull Market,0,1.0
2015-07-27,-0.01837847326936841,Bull Market,0,1.0
2015-07-28,-0.0020082811972752215,Bull Market,0,1.0
2015-07-29,0.0015361607739820245,Bull Market,0,1.0
2015-07-30,-0.012035376794468707,Bull Market,0,0.9689814789865696
2015-07-31,0.001868904310258129,Bull Market,0,0.9388579787284826
2015-08-01,0.016776673541602276,Bull Market,0,0.9596199576013735
2015-08-02,0.01940087081075682,Bull Market,0,0.967049110218135
2015-08-03,-0.001432921580863012,Bull Market,0,0.9695242516536293
2015-08-04,0.006028465876531399,Bull Market,0,1.0
2015-08-05,0.0021134752175452267,Bull Market,0,1.0
2015-08-06,-0.030699770996926296,Bull Market,0,0.9912169034005137
2015-08-07,-0.024214065392145843,Bull Market,0,0.9942961178294826
2015-08-08,0.030977586155303067,Bull Market,0,1.0
2015-08-09,0.03176101500477313,Bull Market,0,0.935408852044978
2015-08-10,0.006191964797983835,Bull Market,0,1.0
2015-08-11,-0.0010494222211698296,Bull Market,0,0.8944352899897438
2015-08-12,0.0036264868317638335,Bull Market,0,0.9717052168657204
2015-08-13,0.004470637610544137,Bull Market,0,1.0
2015-08-14,0.010977177689095027,Bull Market,0,1.0
2015-08-15,0.008028799040782263,Bull Market,0,0.9766679147427718
2015-08-16,0.004314146802936826,Bull Market,0,1.0
2015-08-17,0.020702130260132675,Bull Market,0,1.0
2015-08-18,-0.0007053464120078329,Bull Market,0,1.0
2015-08-19,-0.0025422841364990878,Bull Market,0,0.9899320413950617
2015-08-20,0.006941644535738362,Bull Market,0,1.0
2015-08-21,-0.0023179576331548214,Bull Market,0,0.96780491772637
2015-08-22,0.006295900338270597,Bull Market,0,0.9654407964657227
2015-08-23,0.03050368862049601,Bull Market,0,1.0
2015-08-24,-0.010218657223448863,Bull Market,0,0.9750041822748591
2015-08-25,0.010419162179813056,Bull Market,0,0.898407770180932
2015-08-26,0.006355398804256851,Bull Market,0,1.0
2015-08-27,0.020922742433890792,Bull Market,0,1.0
2015-08-28,0.013954246381926622,Bull Market,0,0.9882124848475874
2015-08-29,0.0007217916313340105,Bull Market,0,0.8952799988146647
2015-08-30,-0.00483804831685628,Bull Market,0,0.9972391045163564
2015-08-31,0.0029349080398238642,Bull Market,0,1.0
2015-09-01,0.038693899959657545,Bull Market,0,1.0
2015-09-02,0.020422349476026117,Bull Market,0,1.0
2015-09-03,-0.0011293762779320438,Bull Market,0,1.0
2015-09-04,0.003881584312068871,Bull Market,0,1.0
2015-09-05,-0.011858480799844414,Bull Market,0,1.0
2015-09-06,0.01778720735042528,Bull Market,0,1.0
2015-09-07,-0.0019615912241617564,Bull Market,0,0.9959641498910362
2015-09-08,-0.0013246396547456074,Bull Market,0,0.9442062882475387
2015-09-09,0.02454274423218889,Bull Market,0,1.0
2015-09-10,-0.003960789523075512,Bull Market,0,0.8903273971374487
2015-09-11,0.01760284732976224,Bull Market,0,0.9258393187032222
2015-09-12,-0.004620777520238609,Bull Market,0,0.8368564845227028
2015-09-13,0.00035558869610977377,Bull Market,0,0.8549693931712347
2015-09-14,6.812938188515034e-05,Bull Market,0,0.8605579845366045
2015-09-15,-0.0047643574194013725,Bull Market,0,0.8030396127314862
2015-09-16,0.026744534201045778,Bull Market,0,0.8419930200871679
2015-09-17,0.01763258694863424,Bull Market,0,0.8693427901241351
2015-09-18,-0.0028550593700932205,Bull Market,0,0.9155069201948752
2015-09-19,0.002849328764088733,Bull Market,0,0.7732345093407458
2015-09-20,-0.006025355637615127,Bull Market,0,1.0
2015-09-21,0.01752353960437928,Bull Market,0,0.8310991764478287
2015-09-22,0.014659637762138737,Bull Market,0,0.8596230229106673
2015-09-23,0.003242275676104787,Bull Market,0,0.7935324704030281
2015-09-24,-0.0031499335542069995,Bull Market,0,0.7607094737225992
2015-09-25,0.00523805482815015,Bull Market,0,0.62401599461504
2015-09-26,-0.010212749415858565,Bull Market,0,0.5922378901280049
2015-09-27,0.009028223173814296,Bull Market,0,0.5654208557730458
2015-09-28,-0.005566779957787088,Bull Market,0,0.3836385850417438
2015-09-29,0.002856471604740378,Bull Market,0,0.27207393314089523
2015-09-30,0.0037883312938494186,Bull Market,0,0.3539758971024179
2015-10-01,0.025098207847231407,Sideways Market,4,0.3201244313061782
2015-10-02,-0.03476851077876204,Sideways Market,4,0.46284754631307623
2015-10-03,-0.036508985084563225,Sideways Market,4,0.607504391725156
2015-10-04,-0.00975711044240832,Sideways Market,4,0.6218190878082321
2015-10-05,-0.00863224583265924,Sideways Market,4,0.6014331108893942
2015-10-06,8.986086353154595e-05,Sideways Market,4,0.6468878820479589
2015-10-07,-0.013232435015913382,Sideways Market,4,0.7510764543163132
2015-10-08,-0.0030852475444501123,Sideways Market,4,0.8686414750451524
2015-10-09,0.023910546136728265,Sideways Market,4,0.9175041807458697
2015-10-10,-0.011353433033821659,Sideways Market,4,1.0
2015-10-11,-0.005839884491839401,Sideways Market,4,0.843356368183401
2015-10-12,0.0012812703680204975,Sideways Market,4,0.7834681880778663
2015-10-13,0.0158766674135307,Sideways Market,4,0.8723033855864135
2015-10-14,-0.004064121399483382,Sideways Market,4,0.9153209112560154
2015-10-15,0.0039034602455807195,Sideways Market,4,0.8342458036148847
2015-10-16,-0.0032854187981944155,Sideways Market,4,0.8839790922244065
2015-10-17,0.010904128876841786,Sideways Market,4,0.8262714266654205
2015-10-18,-0.007575848321478851,Sideways Market,4,0.8729126501596359
2015-10-19,-0.02152771142061205,Sideways Market,4,0.8453997214813677
2015-10-20,0.014108913471267947,Sideways Market,4,0.961964510686419
2015-10-21,-0.002054544372707228,Sideways Market,4,0.9749112124795687
2015-10-22,-0.015336483999423237,Sideways Market,4,1.0
2015-10-23,-0.01595528785481854,Sideways Market,4,1.0
2015-10-24,0.020536863935609544,Sideways Market,4,1.0
2015-10-25,0.0004888432564862605,Sideways Market,4,0.9867132767979371
2015-10-26,0.0053563457699646495,Sideways Market,4,0.9611427487411317
2015-10-27,-0.021255888051029893,Sideways Market,4,0.996389008101812
2015-10-28,0.0028731308815342304,Sideways Market,4,0.9574742381975718
2015-10-29,0.015605223083118739,Sideways Market,4,0.975626583224172
2015-10-30,-0.0032921099059069884,Sideways Market,4,1.0
2015-10-31,0.02391830844677916,Sideways Market,4,0.9664156067710794
2015-11-01,-0.005435891642921831,Sideways Market,4,1.0
2015-11-02,-0.010840626210058484,Sideways Market,4,1.0
2015-11-03,-0.01158572122693375,Sideways Market,4,1.0
2015-11-04,-0.038909705580302906,Sideways Market,4,1.0
2015-11-05,-0.002161595191057475,Sideways Market,4,0.985279936675892
2015-11-06,-0.0035059156181570243,Sideways Market,4,0.8998629932442704
2015-11-07,-0.006134624422036405,Sideways Market,4,1.0
2015-11-08,0.007130141408524003,Sideways Market,4,1.0
2015-11-09,-0.00871913123433253,Sideways Market,4,0.9814921875865423
2015-11-10,0.004130568727372796,Sideways Market,4,1.0
2015-11-11,0.019511607761493806,Sideways Market,4,1.0
2015-11-12,-0.011174858867844934,Sideways Market,4,1.0
2015-11-13,-0.02296661803525105,Sideways Market,4,1.0
2015-11-14,-0.004655015730231433,Sideways Market,4,1.0
2015-11-15,-0.0038275445491918036,Sideways Market,4,0.9462995890267449
2015-11-16,0.019982702686801787,Sideways Market,4,0.9834311954424899
2015-11-17,-0.0077090079178672045,Sideways Market,4,1.0
2015-11-18,-0.03776341895217905,Sideways Market,4,1.0
2015-11-19,0.01042113567050409,Sideways Market,4,0.9882485248209792
2015-11-20,-0.03358870614204111,Sideways Market,4,1.0
2015-11-21,0.010223249887172573,Sideways Market,4,0.972589593153236
2015-11-22,-0.012796654120714174,Sideways Market,4,1.0
2015-11-23,0.0016763191721716748,Sideways Market,4,1.0
2015-11-24,0.012879075381880874,Sideways Market,4,1.0
2015-11-25,0.016477887380524515,Sideways Market,4,1.0
2015-11-26,0.02564464894189396,Sideways Market,4,1.0
2015-11-27,-0.004572807493850496,Sideways Market,4,0.9278680747288998
2015-11-28,0.0015295648183873813,Sideways Market,4,0.8893643820819285
2015-11-29,-0.01921061358970236,Sideways Market,4,0.8908770308120563
2015-11-30,0.0009961559882045768,Sideways Market,4,1.0
2015-12-01,0.0041612475114236845,Sideways Market,4,1.0
2015-12-02,-0.005843359572137279,Sideways Market,4,0.9640842788721093
2015-12-03,-0.0026977779447962262,Sideways Market,4,0.9807553014829951
2015-12-04,0.023948505024336913,Sideways Market,4,1.0
2015-12-05,-0.004993461685525722,Sideways Market,4,0.963834747541969
2015-12-06,0.0017539472254310578,Sideways Market,4,0.9591400680493689
2015-12-07,0.0016122855162897711,Sideways Market,4,0.9672712037750198
2015-12-08,0.0217371694213434,Sideways Market,4,0.9629747786339964
2015-12-09,-0.001960429956850687,Sideways Market,4,1.0
2015-12-10,0.007236877101147966,Sideways Market,4,1.0
2015-12-11,0.012937605614326157,Sideways Market,4,0.9496444449326789
2015-12-12,0.0028018341075586577,Sideways Market,4,0.9963386837563066
2015-12-13,-0.004986725517501611,Sideways Market,4,1.0
2015-12-14,0.017846340580430414,Sideways Market,4,1.0
2015-12-15,-0.009397028943506466,Sideways Market,4,0.9747061553937809
2015-12-16,0.0200915856196025,Sideways Market,4,1.0
2015-12-17,0.010576192828261935,Sideways Market,4,1.0
2015-12-18,-0.015571657686811938,Sideways Market,4,0.9774370427064595
2015-12-19,-0.028165375671679954,Sideways Market,4,0.9323637944095039
2015-12-20,0.014273449469962776,Sideways Market,4,0.9428342186836257
2015-12-21,0.013906060364227835,Sideways Market,4,1.0
2015-12-22,-0.001511156257894804,Sideways Market,4,1.0
2015-12-23,0.009387216223386053,Sideways Market,4,1.0
2015-12-24,-0.010464532672555689,Sideways Market,4,1.0
2015-12-25,-0.0070859712575748945,Sideways Market,4,0.9973809762781068
2015-12-26,-0.009022400229683595,Sideways Market,4,0.9427758702546192
2015-12-27,-0.013877739011761654,Sideways Market,4,0.9895266442571405
2015-12-28,-0.006069733805720354,Sideways Market,4,1.0
2015-12-29,-0.0012179576353186245,Sideways Market,4,0.9698267196547158
2015-12-30,-0.004083925592089984,Sideways Market,4,0.9932023886189152
2015-12-31,0.00846651797534019,Sideways Market,4,1.0
2016-01-01,0.0021634545198472707,Sideways Market,4,1.0
2016-01-02,-0.009647298481976376,Sideways Market,4,1.0
2016-01-03,0.012190668429983866,Sideways Market,4,1.0
2016-01-04,-0.004673870884539319,Sideways Market,4,1.0
2016-01-05,-0.010643431460141444,Sideways Market,4,1.0
2016-01-06,0.0014203730926143376,Sideways Market,4,1.0
2016-01-07,-0.011144446293901818,Sideways Market,4,1.0
2016-01-08,-0.006391578131257393,Sideways Market,4,0.9926051697947612
2016-01-09,-0.01890988918980292,Sideways Market,4,1.0
2016-01-10,-0.016140023977900892,Sideways Market,4,0.9807279139442814
2016-01-11,-0.0246183173187607,Sideways Market,4,0.9517228971906556
2016-01-12,0.017987257826120522,Sideways Market,4,0.9429279066229658
2016-01-13,-0.021299313598693193,Sideways Market,4,0.9896708151085998
2016-01-14,-0.01449267908466157,Sideways Market,4,1.0
2016-01-15,-0.0065468207780777655,Sideways Market,4,1.0
2016-01-16,-0.005696154811408857,Sideways Market,4,1.0
2016-01-17,0.028109762044387025,Sideways Market,4,1.0
2016-01-18,-0.00945616816991368,Sideways Market,4,0.995018119780768
2016-01-19,-0.00532077260353891,Sideways Market,4,0.9821315432140235
2016-01-20,0.01485741380052121,Sideways Market,4,1.0
2016-01-21,0.01203179507513749,Sideways Market,4,0.9862118869890188
2016-01-22,-0.02127341015430697,Sideways Market,4,0.9837574620435117
2016-01-23,-0.005342654883418854,Sideways Market,4,1.0
2016-01-24,-0.016814591109699947,Sideways Market,4,0.9546265528478742
2016-01-25,0.006802372515911644,Sideways Market,4,0.9875039772440146
2016-01-26,0.016967623878155303,Sideways Market,4,0.965619201042061
2016-01-27,0.003318766838365343,Sideways Market,4,1.0
2016-01-28,-0.011326492733253972,Sideways Market,4,1.0
2016-01-29,0.0037061907474105755,Sideways Market,4,1.0
2016-01-30,-0.005937078573418376,Sideways Market,4,0.9889549769679611
2016-01-31,-0.007955141639281134,Sideways Market,4,1.0
2016-02-01,0.010060936112119967,Sideways Market,4,1.0
2016-02-02,-0.0003357095204540991,Sideways Market,4,1.0
2016-02-03,0.0075204021957428705,Sideways Market,4,1.0
2016-02-04,0.019163071950279612,Sideways Market,4,1.0
2016-02-05,-0.0036665798148049107,Sideways Market,4,1.0
2016-02-06,0.01259209451427389,Sideways Market,4,0.9398661420532461
2016-02-07,-0.0024818790180968454,Sideways Market,4,0.9158152516022168
2016-02-08,-0.006205561731563681,Sideways Market,4,1.0
2016-02-09,0.027297269125165852,Sideways Market,4,1.0
2016-02-10,-0.009495131151689458,Sideways Market,4,1.0
2016-02-11,-0.00638790031657221,Sideways Market,4,1.0
2016-02-12,0.013364906419347435,Sideways Market,4,0.9793240123620761
2016-02-13,0.012757539211170349,Sideways Market,4,1.0
2016-02-14,0.007996229179581257,Sideways Market,4,1.0
2016-02-15,-0.007583038543423081,Sideways Market,4,0.9099254421150836
2016-02-16,-0.007690452914541389,Sideways Market,4,1.0
2016-02-17,0.020580410774415917,Sideways Market,4,1.0
2016-02-18,-0.0028005839122605537,Sideways Market,4,1.0
2016-02-19,-0.0015926491903963435,Sideways Market,4,1.0
2016-02-20,0.011896124758054755,Sideways Market,4,0.9766537003637376
2016-02-21,0.005637013220196335,Sideways Market,4,1.0
2016-02-22,0.006403896049686323,Sideways Market,4,0.9765386472710678
2016-02-23,-0.005914611610123636,Sideways Market,4,1.0
2016-02-24,-0.016036256197448896,Sideways Market,4,0.9128882807621252
2016-02-25,-0.013836225882160642,Sideways Market,4,0.9925606824714169
2016-02-26,-0.0005872254606402744,Sideways Market,4,0.9234872390944058
2016-02-27,0.0029804645735274074,Sideways Market,4,0.9372930666158428
2016-02-28,-0.004690349824361319,Sideways Market,4,0.9973148910617612
2016-02-29,0.010358738580205695,Sideways Market,4,0.9646134056777959
2016-03-01,0.0010700728918747581,Sideways Market,4,1.0
2016-03-02,0.0025939221637815814,Sideways Market,4,1.0
2016-03-03,0.024259959494198697,Sideways Market,4,0.9689144172044285
2016-03-04,0.011860090675296087,Sideways Market,4,0.9867615329930016
2016-03-05,0.009891918489412833,Sideways Market,4,1.0
2016-03-06,-0.015508347513481147,Sideways Market,4,0.9665046913830821
2016-03-07,-0.02524407238804293,Sideways Market,4,0.9642302292848287
